sent_time,messages_sent_in_day
2015-11-02,2
2015-11-03,1
2015-11-03,2
2015-11-03,3
2015-11-03,4
2015-11-04,1
2015-11-04,2
2015-11-06,1
2015-11-08,1
2015-11-09,1
2015-11-09,2
2015-11-09,3
2015-11-09,4
2015-11-10,1
2015-11-10,2
2015-11-10,3
2015-11-11,1
2015-11-12,1
2015-11-12,2
2015-11-14,1
2015-11-14,2
2015-11-16,1
2015-11-16,2
2015-11-16,3
2015-11-17,1
2015-11-18,1
2015-11-19,1
2015-11-19,2
2015-11-20,1
2015-11-22,1
2015-11-22,2
2015-11-23,1
2015-11-24,1
2015-11-25,1
2015-11-30,1
2015-12-01,1
2015-12-02,1
2015-12-02,2
2015-12-03,1
2015-12-03,2
2015-12-03,3
2015-12-03,4
2015-12-04,1
2015-12-08,1
2015-12-08,2
2015-12-09,1
2015-12-10,1
2015-12-10,2
2015-12-10,3
2015-12-13,1
2015-12-14,1
2015-12-16,1
2015-12-16,2
2015-12-16,3
2015-12-16,4
2015-12-18,1
2015-12-19,1
2015-12-20,1
2015-12-21,1
2015-12-21,2
2015-12-24,1
2015-12-27,1
2015-12-28,1
2015-12-28,2
2015-12-28,3
2016-01-01,1
2016-01-02,1
2016-01-04,1
2016-01-04,2
2016-01-04,3
2016-01-04,4
2016-01-04,5
2016-01-05,1
2016-01-05,2
2016-01-06,1
2016-01-06,2
2016-01-07,1
2016-01-07,2
2016-01-08,1
2016-01-08,2
2016-01-09,1
2016-01-12,1
2016-01-12,2
2016-01-13,1
2016-01-13,2
2016-01-14,1
2016-01-19,1
2016-01-20,1
2016-01-21,1
2016-01-28,1
2016-01-28,2
2016-01-29,1
2016-02-05,1
2016-02-06,1
2016-02-09,1
2016-02-09,2
2016-02-09,3
2016-02-10,1
2016-02-13,1
2016-02-15,1
2016-02-15,2
2016-02-15,3
2016-02-15,4
2016-02-19,1
2016-02-19,2
2016-02-20,1
2016-02-21,1
2016-02-23,1
2016-02-23,2
2016-02-24,1
2016-03-01,1
2016-03-02,1
2016-03-07,1
2016-03-08,1
2016-03-09,1
2016-03-10,1
2016-03-10,2
2016-03-10,3
2016-03-10,4
2016-03-10,5
2016-03-10,6
2016-03-11,1
2016-03-11,2
2016-03-11,3
2016-03-13,1
2016-03-14,1
2016-03-14,2
2016-03-14,3
2016-03-15,1
2016-03-16,1
2016-03-17,1
2016-03-17,2
2016-03-18,1
2016-03-18,2
2016-03-19,1
2016-03-21,1
2016-03-21,2
2016-03-21,3
2016-03-22,1
2016-03-22,2
2016-03-22,3
2016-03-22,4
2016-03-22,5
2016-03-22,6
2016-03-22,7
2016-03-24,1
2016-03-24,2
2016-03-24,3
2016-03-25,1
2016-03-25,2
2016-03-26,1
2016-03-26,2
2016-03-27,1
2016-03-28,1
2016-03-28,2
2016-03-28,3
2016-03-29,1
2016-03-29,2
2016-03-29,3
2016-03-29,4
2016-03-30,1
2016-04-01,1
2016-04-01,2
2016-04-02,1
2016-04-06,1
2016-04-06,2
2016-04-06,3
2016-04-06,4
2016-04-07,1
2016-04-07,2
2016-04-07,3
2016-04-07,4
2016-04-07,5
2016-04-07,6
2016-04-07,7
2016-04-08,1
2016-04-09,1
2016-04-09,2
2016-04-10,1
2016-04-10,2
2016-04-10,3
2016-04-11,1
2016-04-11,2
2016-04-12,1
2016-04-12,2
2016-04-14,1
2016-04-14,2
2016-04-14,3
2016-04-14,4
2016-04-15,1
2016-04-18,1
2016-04-18,2
2016-04-18,3
2016-04-18,4
2016-04-19,1
2016-04-19,2
2016-04-19,3
2016-04-21,1
2016-04-22,1
2016-04-22,2
2016-04-22,3
2016-04-23,1
2016-04-23,2
2016-04-26,1
2016-04-26,2
2016-04-26,3
2016-04-27,1
2016-04-27,2
2016-04-27,3
2016-04-27,4
2016-04-27,5
2016-04-27,6
2016-04-27,7
2016-04-29,1
2016-04-29,2
2016-04-29,3
2016-04-29,4
2016-05-02,1
2016-05-03,1
2016-05-09,1
2016-05-18,1
2016-05-18,2
2016-05-27,1
2016-05-27,2
2016-05-29,1
2016-05-31,1
2016-06-01,1
2016-06-02,1
2016-06-04,1
2016-06-05,1
2016-06-05,2
2016-06-07,1
2016-06-07,2
2016-06-07,3
2016-06-08,1
2016-06-08,2
2016-06-08,3
2016-06-09,1
2016-06-11,1
2016-06-14,1
2016-06-14,2
2016-06-15,1
2016-06-18,1
2016-06-18,2
2016-06-20,1
2016-06-21,1
2016-06-21,2
2016-06-21,3
2016-06-21,4
2016-06-21,5
2016-06-23,1
2016-06-23,2
2016-06-23,3
2016-06-23,4
2016-06-23,5
2016-06-24,1
2016-06-24,2
2016-06-24,3
2016-06-24,4
2016-06-29,1
2016-07-01,1
2016-07-03,1
2016-07-05,1
2016-07-07,1
2016-07-09,1
2016-07-11,1
2016-07-11,2
2016-07-11,3
2016-07-12,1
2016-07-12,2
2016-07-13,1
2016-07-14,1
2016-07-16,1
2016-07-17,1
2016-07-19,1
2016-07-19,2
2016-07-20,1
2016-07-22,1
2016-07-22,2
2016-07-27,1
2016-07-27,2
2016-07-29,1
2016-07-30,1
2016-07-30,2
2016-08-01,1
2016-08-01,2
2016-08-02,1
2016-08-02,2
2016-08-03,1
2016-08-04,1
2016-08-04,2
2016-08-05,1
2016-08-05,2
2016-08-07,1
2016-08-08,1
2016-08-10,1
2016-08-11,1
2016-08-15,1
2016-08-15,2
2016-08-18,1
2016-08-19,1
2016-08-19,2
2016-08-22,1
2016-08-22,2
2016-08-22,3
2016-08-23,1
2016-08-23,2
2016-08-23,3
2016-08-23,4
2016-08-24,1
2016-08-24,2
2016-08-24,3
2016-08-24,4
2016-08-26,1
2016-08-27,1
2016-08-27,2
2016-08-27,3
2016-08-28,1
2016-08-28,2
2016-08-28,3
2016-08-29,1
2016-08-30,1
2016-08-30,2
2016-08-31,1
2016-08-31,2
2016-09-01,1
2016-09-02,1
2016-09-04,1
2016-09-05,1
2016-09-05,2
2016-09-05,3
2016-09-06,1
2016-09-06,2
2016-09-08,1
2016-09-08,2
2016-09-08,3
2016-09-11,1
2016-09-12,1
2016-09-13,1
2016-09-13,2
2016-09-13,3
2016-09-15,1
2016-09-15,2
2016-09-16,1
2016-09-18,1
2016-09-20,1
2016-09-24,1
2016-09-27,1
2016-09-28,1
2016-09-28,2
2016-09-30,1
2016-10-02,1
2016-10-02,2
2016-10-03,1
2016-10-03,2
2016-10-04,1
2016-10-06,1
2016-10-09,1
2016-10-10,1
2016-10-10,2
2016-10-10,3
2016-10-11,1
2016-10-12,1
2016-10-12,2
2016-10-12,3
2016-10-15,1
2016-10-15,2
2016-10-17,1
2016-10-17,2
2016-10-18,1
2016-10-19,1
2016-10-21,1
2016-10-22,1
2016-10-22,2
2016-10-24,1
2016-10-24,2
2016-10-24,3
2016-10-25,1
2016-10-27,1
2016-10-27,2
2016-10-27,3
2016-10-28,1
2016-10-29,1
2016-10-30,1
2016-10-30,2
2016-10-30,3
2016-10-30,4
2016-10-31,1
2016-11-01,1
2016-11-01,2
2016-11-01,3
2016-11-04,1
2016-11-05,1
2016-11-05,2
2016-11-06,1
2016-11-06,2
2016-11-07,1
2016-11-07,2
2016-11-07,3
2016-11-10,1
2016-11-11,1
2016-11-11,2
2016-11-15,1
2016-11-15,2
2016-11-15,3
2016-11-16,1
2016-11-18,1
2016-11-18,2
2016-11-19,1
2016-11-19,2
2016-11-21,1
2016-11-22,1
2016-11-22,2
2016-11-23,1
2016-11-24,1
